date,temperature_2m,relative_humidity_2m
2025-02-14 00:00:00+00:00,10.367499,96.0
2025-02-14 01:00:00+00:00,10.5675,97.0
2025-02-14 02:00:00+00:00,10.617499,97.0
2025-02-14 03:00:00+00:00,10.7175,97.0
2025-02-14 04:00:00+00:00,10.8175,96.0
2025-02-14 05:00:00+00:00,10.5675,97.0
2025-02-14 06:00:00+00:00,10.2675,97.0
2025-02-14 07:00:00+00:00,11.2175,95.0
2025-02-14 08:00:00+00:00,13.0675,87.0
2025-02-14 09:00:00+00:00,13.9675,81.0
2025-02-14 10:00:00+00:00,14.5175,78.0
2025-02-14 11:00:00+00:00,15.2675,74.0
2025-02-14 12:00:00+00:00,15.617499,72.0
2025-02-14 13:00:00+00:00,15.5175,73.0
2025-02-14 14:00:00+00:00,15.117499,76.0
2025-02-14 15:00:00+00:00,14.617499,77.0
2025-02-14 16:00:00+00:00,13.7675,82.0
2025-02-14 17:00:00+00:00,12.4175,92.0
2025-02-14 18:00:00+00:00,11.7675,94.0
2025-02-14 19:00:00+00:00,11.9175,95.0
2025-02-14 20:00:00+00:00,12.117499,94.0
2025-02-14 21:00:00+00:00,11.8175,95.0
2025-02-14 22:00:00+00:00,11.867499,95.0
2025-02-14 23:00:00+00:00,11.8175,95.0
2025-02-15 00:00:00+00:00,11.9175,94.0
2025-02-15 01:00:00+00:00,11.9175,94.0
2025-02-15 02:00:00+00:00,11.5675,96.0
2025-02-15 03:00:00+00:00,11.3175,96.0
2025-02-15 04:00:00+00:00,11.2175,97.0
2025-02-15 05:00:00+00:00,11.2675,96.0
2025-02-15 06:00:00+00:00,11.2675,96.0
2025-02-15 07:00:00+00:00,12.117499,93.0
2025-02-15 08:00:00+00:00,12.9175,86.0
2025-02-15 09:00:00+00:00,13.3175,85.0
2025-02-15 10:00:00+00:00,13.617499,83.0
2025-02-15 11:00:00+00:00,14.0175,81.0
2025-02-15 12:00:00+00:00,14.0675,80.0
2025-02-15 13:00:00+00:00,13.867499,81.0
2025-02-15 14:00:00+00:00,13.7175,79.0
2025-02-15 15:00:00+00:00,13.3175,84.0
2025-02-15 16:00:00+00:00,12.5675,87.0
2025-02-15 17:00:00+00:00,11.8175,92.0
2025-02-15 18:00:00+00:00,11.617499,92.0
2025-02-15 19:00:00+00:00,11.3175,93.0
2025-02-15 20:00:00+00:00,11.4675,93.0
2025-02-15 21:00:00+00:00,11.5175,92.0
2025-02-15 22:00:00+00:00,11.5675,92.0
2025-02-15 23:00:00+00:00,11.4175,92.0
2025-02-16 00:00:00+00:00,11.617499,91.0
2025-02-16 01:00:00+00:00,11.5175,91.0
2025-02-16 02:00:00+00:00,11.5175,92.0
2025-02-16 03:00:00+00:00,11.5675,91.0
2025-02-16 04:00:00+00:00,11.367499,91.0
2025-02-16 05:00:00+00:00,11.367499,90.0
2025-02-16 06:00:00+00:00,11.2175,92.0
2025-02-16 07:00:00+00:00,11.5675,91.0
2025-02-16 08:00:00+00:00,12.0675,89.0
2025-02-16 09:00:00+00:00,12.4175,88.0
2025-02-16 10:00:00+00:00,13.0675,82.0
2025-02-16 11:00:00+00:00,13.617499,78.0
2025-02-16 12:00:00+00:00,13.9675,76.0
2025-02-16 13:00:00+00:00,13.867499,73.0
2025-02-16 14:00:00+00:00,13.5175,71.0
2025-02-16 15:00:00+00:00,13.0175,72.0
2025-02-16 16:00:00+00:00,12.367499,77.0
2025-02-16 17:00:00+00:00,11.5675,85.0
2025-02-16 18:00:00+00:00,10.9675,90.0
2025-02-16 19:00:00+00:00,10.7675,91.0
2025-02-16 20:00:00+00:00,10.8175,90.0
2025-02-16 21:00:00+00:00,10.8175,89.0
2025-02-16 22:00:00+00:00,10.7175,89.0
2025-02-16 23:00:00+00:00,10.5675,89.0
2025-02-17 00:00:00+00:00,10.367499,90.0
2025-02-17 01:00:00+00:00,10.117499,91.0
2025-02-17 02:00:00+00:00,9.867499,93.0
2025-02-17 03:00:00+00:00,9.6675,94.0
2025-02-17 04:00:00+00:00,9.4675,95.0
2025-02-17 05:00:00+00:00,9.2675,95.0
2025-02-17 06:00:00+00:00,9.4175,94.0
2025-02-17 07:00:00+00:00,10.117499,91.0
2025-02-17 08:00:00+00:00,11.117499,87.0
2025-02-17 09:00:00+00:00,12.0675,83.0
2025-02-17 10:00:00+00:00,12.867499,78.0
2025-02-17 11:00:00+00:00,13.6675,72.0
2025-02-17 12:00:00+00:00,14.0675,68.0
2025-02-17 13:00:00+00:00,14.0675,68.0
2025-02-17 14:00:00+00:00,13.7175,70.0
2025-02-17 15:00:00+00:00,13.117499,74.0
2025-02-17 16:00:00+00:00,12.1675,79.0
2025-02-17 17:00:00+00:00,10.9675,85.0
2025-02-17 18:00:00+00:00,10.0175,90.0
2025-02-17 19:00:00+00:00,9.5675,91.0
2025-02-17 20:00:00+00:00,9.4175,91.0
2025-02-17 21:00:00+00:00,9.367499,90.0
2025-02-17 22:00:00+00:00,9.367499,90.0
2025-02-17 23:00:00+00:00,9.4175,89.0
2025-02-18 00:00:00+00:00,9.4675,88.0
2025-02-18 01:00:00+00:00,9.4675,85.0
2025-02-18 02:00:00+00:00,9.4675,82.0
2025-02-18 03:00:00+00:00,9.367499,80.0
2025-02-18 04:00:00+00:00,9.1675,81.0
2025-02-18 05:00:00+00:00,8.867499,83.0
2025-02-18 06:00:00+00:00,8.6675,84.0
2025-02-18 07:00:00+00:00,9.8550005,81.0
2025-02-18 08:00:00+00:00,10.8550005,79.0
2025-02-18 09:00:00+00:00,11.705,76.0
2025-02-18 10:00:00+00:00,12.3550005,72.0
2025-02-18 11:00:00+00:00,12.905001,68.0
2025-02-18 12:00:00+00:00,13.255,65.0
2025-02-18 13:00:00+00:00,13.405001,63.0
2025-02-18 14:00:00+00:00,13.3550005,62.0
2025-02-18 15:00:00+00:00,12.955,63.0
2025-02-18 16:00:00+00:00,12.005,68.0
2025-02-18 17:00:00+00:00,10.755,76.0
2025-02-18 18:00:00+00:00,9.655001,82.0
2025-02-18 19:00:00+00:00,9.005,85.0
2025-02-18 20:00:00+00:00,8.555,86.0
2025-02-18 21:00:00+00:00,8.155001,87.0
2025-02-18 22:00:00+00:00,7.705,87.0
2025-02-18 23:00:00+00:00,7.2549996,87.0
2025-02-19 00:00:00+00:00,7.0049996,87.0
2025-02-19 01:00:00+00:00,7.055,88.0
2025-02-19 02:00:00+00:00,7.2549996,90.0
2025-02-19 03:00:00+00:00,7.355,91.0
2025-02-19 04:00:00+00:00,7.105,92.0
2025-02-19 05:00:00+00:00,6.7549996,93.0
2025-02-19 06:00:00+00:00,6.9049997,92.0
2025-02-19 07:00:00+00:00,7.9549994,87.0
2025-02-19 08:00:00+00:00,9.505,81.0
2025-02-19 09:00:00+00:00,10.8550005,74.0
2025-02-19 10:00:00+00:00,11.8550005,67.0
2025-02-19 11:00:00+00:00,12.705,59.0
2025-02-19 12:00:00+00:00,13.255,54.0
2025-02-19 13:00:00+00:00,13.405001,52.0
2025-02-19 14:00:00+00:00,13.305,53.0
2025-02-19 15:00:00+00:00,12.755,56.0
2025-02-19 16:00:00+00:00,11.6050005,62.0
2025-02-19 17:00:00+00:00,10.1050005,69.0
2025-02-19 18:00:00+00:00,8.8550005,76.0
2025-02-19 19:00:00+00:00,8.055,80.0
2025-02-19 20:00:00+00:00,7.455,83.0
2025-02-19 21:00:00+00:00,7.055,86.0
2025-02-19 22:00:00+00:00,6.7549996,89.0
2025-02-19 23:00:00+00:00,6.6549997,91.0
